Host.Family,BLFamilyLatin,species_clean,species_jetz,Mite.Genus,Mite.Genus2,sociality,foraging_cat,elevation_cat,TipLabel,Sample.Full..,keycol,valuecol
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,,,1,canopy,high_montane_manu,Thraupis_cyanocephala,W130654,Mite.Group,Feather
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,,,1,canopy,high_montane_manu,Thraupis_cyanocephala,W120518,Mite.Group2,
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,,,1,canopy,high_montane_manu,Thraupis_cyanocephala,W120525,Mite.Group2,
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,,,1,canopy,high_montane_manu,Thraupis_cyanocephala,W120530,Mite.Group2,
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,,,1,canopy,high_montane_manu,Thraupis_cyanocephala,W130188,Mite.Group2,
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,,,1,canopy,high_montane_manu,Thraupis_cyanocephala,W130559,Mite.Group2,
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,,,1,canopy,high_montane_manu,Thraupis_cyanocephala,W130566,Mite.Group2,
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,,,1,canopy,high_montane_manu,Thraupis_cyanocephala,W130603,Mite.Group2,
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,,,1,canopy,high_montane_manu,Thraupis_cyanocephala,W130623,Mite.Group2,
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,,,1,canopy,high_montane_manu,Thraupis_cyanocephala,W130648,Mite.Group2,
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,,,1,canopy,high_montane_manu,Thraupis_cyanocephala,W130654,Mite.Group2,
Thamnophilidae,Thamnophilidae,Thamnophilus schistaceus,Thamnophilus schistaceus,,,1,midhigh,lowland_manu,Thamnophilus_schistaceus,P110296,Mite.Group,Feather
Thamnophilidae,Thamnophilidae,Thamnophilus schistaceus,Thamnophilus schistaceus,,,1,midhigh,lowland_manu,Thamnophilus_schistaceus,P110325,Mite.Group,Feather
Thamnophilidae,Thamnophilidae,Thamnophilus schistaceus,Thamnophilus schistaceus,,,1,midhigh,lowland_manu,Thamnophilus_schistaceus,P115942,Mite.Group,Feather
Thamnophilidae,Thamnophilidae,Thamnophilus schistaceus,Thamnophilus schistaceus,,,1,midhigh,lowland_manu,Thamnophilus_schistaceus,P116120,Mite.Group,Feather
Thamnophilidae,Thamnophilidae,Thamnophilus schistaceus,Thamnophilus schistaceus,,,1,midhigh,lowland_manu,Thamnophilus_schistaceus,P130060,Mite.Group,Feather
Thamnophilidae,Thamnophilidae,Thamnophilus schistaceus,Thamnophilus schistaceus,,,1,midhigh,lowland_manu,Thamnophilus_schistaceus,P130067,Mite.Group,Feather
Thamnophilidae,Thamnophilidae,Thamnophilus schistaceus,Thamnophilus schistaceus,,,1,midhigh,lowland_manu,Thamnophilus_schistaceus,P115993,Mite.Group,Feather
