species_jetz,sociality,Powder.lvl,elevation,total_parasites
Myrmoborus_myotherinus,1,low,426,1
Deconychura_longicauda,1,med,439,4
Piprites_chloris,0,med,426,54
Lepidothrix_coronata,1,med,417.5,27
Myrmotherula_hauxwelli,1,low,415,1
Myrmotherula_hauxwelli,1,low,415,2
Automolus_infuscatus,1,med,419,69
Habia_rubica,1,med,413,94
Laniocera_hypopyrra,0,low,416,50
Myrmotherula_hauxwelli,1,med,415,4
Gymnopithys_salvini,0,low,415,25
Conopophaga_peruviana,1,low,415.5,58
Habia_rubica,1,low,413,26
Deconychura_longicauda,1,med,439,0
Dichrozona_cincta,0,med,417,46
Myrmotherula_hauxwelli,1,low,415,0
Xenops_minutus,1,high,414,567
Xenops_minutus,1,low,414,2
Myrmotherula_hauxwelli,1,low,415,2
Thamnophilus_schistaceus,1,med,439,8
Pipra_fasciicauda,1,low,413,98
Myrmotherula_hauxwelli,1,low,415,0
Arremon_taciturnus,1,med,429,92
Percnostola_lophotes,1,low,670,431
Pipra_fasciicauda,1,low,413,8
Thamnophilus_schistaceus,1,med,439,0
Laniocera_hypopyrra,0,low,416,2
Myrmotherula_hauxwelli,1,low,415,0
Gymnopithys_salvini,0,low,415,12
Gymnopithys_salvini,0,med,415,2
Gymnopithys_salvini,0,high,415,10
Myrmeciza_hemimelaena,0,low,818,31
Myrmotherula_hauxwelli,1,low,415,0
Automolus_ochrolaemus,1,low,680,0
Deconychura_longicauda,1,med,439,217
Automolus_ochrolaemus,1,low,680,33
Automolus_ochrolaemus,1,low,680,99
Rhytipterna_simplex,0,high,526,0
Gymnopithys_salvini,0,high,415,6
Myrmotherula_longipennis,1,low,418.5,0
Myrmeciza_goeldii,1,low,438,0
Arremon_taciturnus,1,low,429,1
Myrmeciza_hemimelaena,0,low,818,1
Myrmeciza_goeldii,1,low,438,5
Tangara_schrankii,1,low,421,0
Glyphorynchus_spirurus,1,low,421,1
Phlegopsis_nigromaculata,0,low,413,1
Myrmotherula_menetriesii,1,low,423.5,1
Myrmotherula_longipennis,1,low,418.5,1
Automolus_ochrolaemus,1,low,680,8
Habia_rubica,1,low,413,180
Myrmotherula_hauxwelli,1,low,415,0
Pipra_fasciicauda,1,low,413,1
Habia_rubica,1,low,413,0
Terenotriccus_erythrurus,1,low,413,4
Gymnopithys_salvini,0,low,415,0
Phlegopsis_nigromaculata,0,low,413,0
Myrmotherula_hauxwelli,1,low,415,1
Myrmotherula_hauxwelli,1,low,415,0
Myrmotherula_hauxwelli,1,low,415,1
Arremon_taciturnus,1,none,429,1
Myrmotherula_menetriesii,1,low,423.5,1
Myrmotherula_longicauda,1,low,1210,3
Myrmotherula_longipennis,1,low,418.5,2
Myrmotherula_schisticolor,1,low,1487,12
Ramphotrigon_fuscicauda,1,low,431,7
Habia_rubica,1,low,413,18
Arremon_taciturnus,1,low,429,6
Gymnopithys_salvini,0,low,415,0
Tangara_schrankii,1,med,421,0
Arremon_taciturnus,1,low,429,6
Tangara_schrankii,1,low,421,0
Phlegopsis_nigromaculata,0,low,413,1
Arremon_taciturnus,1,low,429,0
Xiphorhynchus_elegans,1,low,421,1
Arremon_taciturnus,1,low,429,7
Habia_rubica,1,low,413,0
Arremon_taciturnus,1,low,429,1
Thamnophilus_schistaceus,1,low,439,0
Gymnopithys_salvini,0,low,415,1
Tangara_schrankii,1,low,421,3
Terenotriccus_erythrurus,1,low,413,6
Myrmotherula_longipennis,1,low,418.5,0
Phaethornis_koepckeae,0,low,418,0
Arremon_taciturnus,1,low,429,0
Thamnophilus_schistaceus,1,low,439,0
Rhytipterna_simplex,0,low,526,2
Gymnopithys_salvini,0,low,415,1
Thamnophilus_schistaceus,1,low,439,5
Gymnopithys_salvini,0,med,415,28
Arremon_taciturnus,1,med,429,3
Gymnopithys_salvini,0,low,415,15
Thamnophilus_schistaceus,1,low,439,1
Arremon_taciturnus,1,low,429,1
Gymnopithys_salvini,0,low,415,1
Gymnopithys_salvini,0,low,415,1
Philydor_erythropterum,1,low,430,0
