"","species_pair","species","species2","low_limit","high_limit"
"186","Microrhopias.quixensis&Epinecrophylla.spodionota","Microrhopias.quixensis","Epinecrophylla.spodionota",854.8672431,1185.003847
"187","Myrmelastes.leucostigma&Epinecrophylla.spodionota","Myrmelastes.leucostigma","Epinecrophylla.spodionota",854.8672431,1419.427474
"188","Myrmoborus.leucophrys&Epinecrophylla.spodionota","Myrmoborus.leucophrys","Epinecrophylla.spodionota",854.8672431,1130.37757
"189","Myrmoborus.lophotes&Epinecrophylla.spodionota","Myrmoborus.lophotes","Epinecrophylla.spodionota",854.8672431,1158.186905
"190","Myrmotherula.longicauda&Epinecrophylla.spodionota","Myrmotherula.longicauda","Epinecrophylla.spodionota",969.1766003,1423.114472
"191","Myrmotherula.schisticolor&Epinecrophylla.spodionota","Myrmotherula.schisticolor","Epinecrophylla.spodionota",1242.949247,1423.114472
"192","Pyriglena.leuconota&Epinecrophylla.spodionota","Pyriglena.leuconota","Epinecrophylla.spodionota",1036.267373,1423.114472
"193","Rhegmatorhina.melanosticta&Epinecrophylla.spodionota","Rhegmatorhina.melanosticta","Epinecrophylla.spodionota",854.8672431,1011.101573
"194","Sciaphylax.hemimelaena&Epinecrophylla.spodionota","Sciaphylax.hemimelaena","Epinecrophylla.spodionota",854.8672431,1212.630708
"195","Thamnophilus.palliatus&Epinecrophylla.spodionota","Thamnophilus.palliatus","Epinecrophylla.spodionota",941.374244,1423.114472
"196","Akletos.goeldii&Hafferia.fortis","Akletos.goeldii","Hafferia.fortis",380.0000471,613.5858084
"197","Cercomacra.manu&Hafferia.fortis","Cercomacra.manu","Hafferia.fortis",380.0000471,613.5858084
"198","Cercomacroides.serva&Hafferia.fortis","Cercomacroides.serva","Hafferia.fortis",380.0000471,613.5858084
"199","Cymbilaimus.sanctaemariae&Hafferia.fortis","Cymbilaimus.sanctaemariae","Hafferia.fortis",405.5124356,613.5858084
"200","Dysithamnus.mentalis&Hafferia.fortis","Dysithamnus.mentalis","Hafferia.fortis",583.0497077,613.5858084
"201","Epinecrophylla.ornata&Hafferia.fortis","Epinecrophylla.ornata","Hafferia.fortis",478.8607096,613.5858084
"202","Hylophylax.naevius&Hafferia.fortis","Hylophylax.naevius","Hafferia.fortis",380.0000471,613.5858084
"203","Hypocnemis.subflava&Hafferia.fortis","Hypocnemis.subflava","Hafferia.fortis",451.2888823,613.5858084
"204","Microrhopias.quixensis&Hafferia.fortis","Microrhopias.quixensis","Hafferia.fortis",380.9074699,613.5858084
"205","Myrmelastes.brunneiceps&Hafferia.fortis","Myrmelastes.brunneiceps","Hafferia.fortis",380.0000471,613.5858084
"206","Myrmelastes.leucostigma&Hafferia.fortis","Myrmelastes.leucostigma","Hafferia.fortis",555.8201003,613.5858084
"207","Myrmoborus.leucophrys&Hafferia.fortis","Myrmoborus.leucophrys","Hafferia.fortis",380.0000471,613.5858084
"208","Myrmoborus.lophotes&Hafferia.fortis","Myrmoborus.lophotes","Hafferia.fortis",380.0000471,613.5858084
"209","Myrmoborus.myotherinus&Hafferia.fortis","Myrmoborus.myotherinus","Hafferia.fortis",380.0000471,613.5858084
"210","Myrmotherula.axillaris&Hafferia.fortis","Myrmotherula.axillaris","Hafferia.fortis",380.0000471,534.2222829
