,species_from_detections,species_taxonomy_SACC_2021,n,species,species_jetz,notes_taxonomy.x.x,WJSpecID,TipLabel,PatchClade,Hackett_FineClades,Hackett_CoarseClades,English,FileName,X2010.IUCN.Red.List.category,Taxo,BLFamilyLatin,BLFamilyEnglish,FamSequID,IOCOrder,PassNonPass,OscSubOsc,n.y,notes_taxonomy.x.y,missmatches,status,X
72,Diglossa caerulescens,Diglossa caerulescens,23,Diglossa caerulescens,Diglossa caerulescens,NA,13248,Diglossa_caerulescens,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Bluish Flowerpiercer,bow13248,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
73,Trichothraupis melanops,Trichothraupis melanops,141,Trichothraupis melanops,Trichothraupis melanops,NA,12901,Trichothraupis_melanops,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Black-goggled Tanager,bow12901,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
74,Platyrinchus mystaceus,Platyrinchus mystaceus,36,Platyrinchus mystaceus,Platyrinchus mystaceus,NA,5975,Platyrinchus_mystaceus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",White-throated Spadebill,bow05975,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
75,Diglossa glauca,Diglossa glauca,238,Diglossa glauca,Diglossa glauca,NA,13247,Diglossa_glauca,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Deep-blue Flowerpiercer,bow13247,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
76,Pipraeidea melanonota,Pipraeidea melanonota,18,Pipraeidea melanonota,Pipraeidea melanonota,NA,12969,Pipraeidea_melanonota,P17P18,"Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Fawn-breasted Tanager,bow12969,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
77,Phylloscartes ventralis,Phylloscartes ventralis,20,Phylloscartes ventralis,Phylloscartes ventralis,NA,5943,Phylloscartes_ventralis,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Mottle-cheeked Tyrannulet,bow05943,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
78,Thamnophilus caerulescens,Thamnophilus caerulescens,78,Thamnophilus caerulescens,Thamnophilus caerulescens,NA,6431,Thamnophilus_caerulescens,Thamnophilidae,Antbirds,Antbirds,Variable Antshrike,bow06431,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
79,Tangara nigroviridis,Tangara nigroviridis,36,Tangara nigroviridis,Tangara nigroviridis,NA,13047,Tangara_nigroviridis,P17P18,"Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Beryl-spangled Tanager,bow13047,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
80,Diglossa cyanea,Diglossa cyanea,899,Diglossa cyanea,Diglossa cyanea,NA,13249,Diglossa_cyanea,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Masked Flowerpiercer,bow13249,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
81,Turdus leucops,Turdus leucops,34,Turdus leucops,Turdus leucops,NA,8914,Turdus_leucops,M5,Thrushes,"Thrushes, Dippers, Chats, Old World Flycatchers",Pale-eyed Thrush,bow08914,LC,BL3,Turdidae,Thrushes,178,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
82,Rhynchocyclus fulvipectus,Rhynchocyclus fulvipectus,55,Rhynchocyclus fulvipectus,Rhynchocyclus fulvipectus,NA,5966,Rhynchocyclus_fulvipectus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Fulvous-breasted Flatbill,bow05966,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
83,Turdus serranus,Turdus serranus,225,Turdus serranus,Turdus serranus,NA,8975,Turdus_serranus,M5,Thrushes,"Thrushes, Dippers, Chats, Old World Flycatchers",Glossy-black Thrush,bow08975,LC,BL3,Turdidae,Thrushes,178,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
84,Entomodestes leucotis,Entomodestes leucotis,379,Entomodestes leucotis,Entomodestes leucotis,NA,8891,Entomodestes_leucotis,M5,Thrushes,"Thrushes, Dippers, Chats, Old World Flycatchers",White-eared Solitaire,bow08891,LC,BL3,Turdidae,Thrushes,178,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
85,Arremon brunneinucha,Arremon brunneinucha,54,Arremon brunneinucha,Arremon brunneinucha,NA,12646,Arremon_brunneinucha,P20b,"Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies",Chestnut-capped Brush-finch,bow12646,LC,BL3,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
86,Drymophila caudata,Drymophila caudata,71,Drymophila caudata,Drymophila caudata,NA,6533,Drymophila_caudata,Thamnophilidae,Antbirds,Antbirds,Long-tailed Antbird,bow06533,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
87,Haplospiza rustica,Haplospiza rustica,34,Haplospiza rustica,Haplospiza rustica,NA,13100,Haplospiza_rustica,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Slaty Finch,bow13100,LC,BL3,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
88,Troglodytes solstitialis,Troglodytes solstitialis,263,Troglodytes solstitialis,Troglodytes solstitialis,NA,9768,Troglodytes_solstitialis,M1,"Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers","Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers",Mountain Wren,bow09768,LC,BL3,Troglodytidae,Wrens,162,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
89,Myioborus melanocephalus,Myioborus melanocephalus,790,Myioborus melanocephalus,Myioborus melanocephalus,NA,12766,Myioborus_melanocephalus,P20a,New World Warblers,"New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies",Spectacled Redstart,bow12766,LC,BL3,Parulidae,New World warblers,171,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
90,Myiothlypis signata,Myiothlypis signata,401,Basileuterus signatus,Basileuterus signatus,REV_TAX,12775,Basileuterus_signatus,P20a,New World Warblers,"New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies",Pale-legged Warbler,bow12775,LC,BL3,Parulidae,New World warblers,171,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
91,Poecilotriccus plumbeiceps,Poecilotriccus plumbeiceps,51,Poecilotriccus plumbeiceps,Poecilotriccus plumbeiceps,NA,5801,Poecilotriccus_plumbeiceps,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Ochre-faced Tody-flycatcher,bow05801,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
92,Syndactyla rufosuperciliata,Syndactyla rufosuperciliata,65,Syndactyla rufosuperciliata,Syndactyla rufosuperciliata,NA,6832,Syndactyla_rufosuperciliata,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Buff-browed Foliage-gleaner,bow06832,LC,BL3,Furnariidae,Ovenbirds,110,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
93,Pipreola intermedia,Pipreola intermedia,180,Pipreola intermedia,Pipreola intermedia,NA,6273,Pipreola_intermedia,Cotingidae,Cotingas,Cotingas,Band-tailed Fruiteater,bow06273,LC,BL3,Cotingidae,Cotingas,104,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
94,Creurgops dentatus,Creurgops dentatus,25,Creurgops dentatus,Creurgops dentatus,NA,12890,Creurgops_dentatus,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Slaty Tanager,bow12890,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
95,Terenura sharpei,Euchrepornis sharpei,6,Terenura sharpei,Terenura sharpei,REV_TAX,6542,Terenura_sharpei,Thamnophilidae,Antbirds,Antbirds,Yellow-rumped Antwren,bow06542,EN,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
96,Thripadectes holostictus,Thripadectes holostictus,61,Thripadectes holostictus,Thripadectes holostictus,NA,6858,Thripadectes_holostictus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Striped Treehunter,bow06858,LC,BL3,Furnariidae,Ovenbirds,110,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
97,Hypocnemis subflava,Hypocnemis subflava,310,Hypocnemis cantator,Hypocnemis cantator,REV_TAX,6563,Hypocnemis_cantator,Thamnophilidae,Antbirds,Antbirds,Guianan Warbling-antbird,bow06563,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
98,Ramphocelus carbo,Ramphocelus carbo,288,Ramphocelus carbo,Ramphocelus carbo,NA,12925,Ramphocelus_carbo,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Silver-beaked Tanager,bow12925,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
99,Chlorospingus parvirostris,Chlorospingus parvirostris,63,Chlorospingus parvirostris,Chlorospingus parvirostris,NA,12842,Chlorospingus_parvirostris,P20b,"Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies",Yellow-whiskered Bush-tanager,bow12842,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
100,Momotus aequatorialis,Momotus aequatorialis,11,Momotus aequatorialis,Momotus aequatorialis,NA,1529,Momotus_aequatorialis,Motmotidae,"Kingfishers, Motmots, Todies","Bee-eaters, Kingfishers, Motmots, Todies, Rollers, Ground-Rollers",Andean Motmot,bow01529,NA,IOC27,Momotidae,Motmots,87,CORACIIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
101,Epinecrophylla ornata,Epinecrophylla ornata,63,Epinecrophylla ornata,Epinecrophylla ornata,NA,6483,Epinecrophylla_ornata,Thamnophilidae,Antbirds,Antbirds,Ornate Antwren,bow06483,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
102,Psarocolius atrovirens,Psarocolius atrovirens,163,Psarocolius atrovirens,Psarocolius atrovirens,NA,13329,Psarocolius_atrovirens,P21,New World Blackbirds,"New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies",Dusky-green Oropendola,bow13329,LC,BL3,Icteridae,New World blackbirds,190,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
103,Catharus dryas,Catharus maculatus,190,Catharus dryas,Catharus dryas,REV_TAX,8901,Catharus_dryas,M5,Thrushes,"Thrushes, Dippers, Chats, Old World Flycatchers",Spotted Nightingale-thrush,bow08901,LC,BL3,Turdidae,Thrushes,178,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
104,Tolmomyias sulphurescens,Tolmomyias sulphurescens,5,Tolmomyias sulphurescens,Tolmomyias sulphurescens,NA,5969,Tolmomyias_sulphurescens,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Yellow-olive Flycatcher,bow05969,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
105,Cranioleuca curtata,Cranioleuca curtata,128,Cranioleuca curtata,Cranioleuca curtata,NA,6737,Cranioleuca_curtata,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Ash-browed Spinetail,bow06737,LC,BL3,Furnariidae,Ovenbirds,110,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
106,Lochmias nematura,Lochmias nematura,32,Lochmias nematura,Lochmias nematura,NA,6817,Lochmias_nematura,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Sharp-tailed Streamcreeper,bow06817,LC,BL3,Furnariidae,Ovenbirds,110,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
107,Notiochelidon cyanoleuca,Pygochelidon cyanoleuca,17,Notiochelidon cyanoleuca,Pygochelidon cyanoleuca,NA,10021,Pygochelidon_cyanoleuca,S6,"Swallows, Martins","Swallows, Martins",Blue-and-white Swallow,bow10021,LC,BL3,Hirundinidae,Swallows and martins,156,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,assigned
108,Pogonotriccus ophthalmicus,Phylloscartes ophthalmicus,131,Pogonotriccus ophthalmicus,Phylloscartes ophthalmicus,NA,5928,Phylloscartes_ophthalmicus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Marble-faced Bristle-tyrant,bow05928,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,assigned
109,Stelgidopteryx ruficollis,Stelgidopteryx ruficollis,7,Stelgidopteryx ruficollis,Stelgidopteryx ruficollis,NA,10043,Stelgidopteryx_ruficollis,S6,"Swallows, Martins","Swallows, Martins",Southern Rough-winged Swallow,bow10043,LC,BL3,Hirundinidae,Swallows and martins,156,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
110,Coereba flaveola,Coereba flaveola,119,Coereba flaveola,Coereba flaveola,NA,12807,Coereba_flaveola,P17P18,"Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Bananaquit,bow12807,LC,BL3,Coerebidae,Bananaquit,191,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
111,Rupicola peruvianus,Rupicola peruvianus,128,Rupicola peruvianus,Rupicola peruvianus,NA,6329,Rupicola_peruvianus,Cotingidae,Cotingas,Cotingas,Andean Cock-of-the-rock,bow06329,LC,BL3,Cotingidae,Cotingas,104,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
112,Taphrospilus hypostictus,Taphrospilus hypostictus,23,Taphrospilus hypostictus,Taphrospilus hypostictus,NA,2612,Taphrospilus_hypostictus,Trochilidae,Hummingbirds,Hummingbirds,Many-spotted Hummingbird,bow02612,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
113,Chlorospingus ophthalmicus,Chlorospingus flavopectus,258,Chlorospingus ophthalmicus,Chlorospingus ophthalmicus,REV_TAX,12834,Chlorospingus_ophthalmicus,P20b,"Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies",Common Bush-tanager,bow12834,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
114,Trogon personatus,Trogon personatus,305,Trogon personatus,Trogon personatus,NA,1443,Trogon_personatus,Trogonidae,Trogons,Trogons,Masked Trogon,bow01443,LC,BL3,Trogonidae,Trogons,81,TROGONIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
115,Machaeropterus pyrocephalus,Machaeropterus pyrocephalus,146,Machaeropterus pyrocephalus,Machaeropterus pyrocephalus,NA,6370,Machaeropterus_pyrocephalus,Pipridae,Manakins,Manakins,Fiery-capped Manakin,bow06370,LC,BL3,Pipridae,Manakins,103,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
116,Dysithamnus mentalis,Dysithamnus mentalis,170,Dysithamnus mentalis,Dysithamnus mentalis,NA,6451,Dysithamnus_mentalis,Thamnophilidae,Antbirds,Antbirds,Plain Antvireo,bow06451,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
117,Tangara chilensis,Tangara chilensis,243,Tangara chilensis,Tangara chilensis,NA,13010,Tangara_chilensis,P17P18,"Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Paradise Tanager,bow13010,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
118,Turdus hauxwelli,Turdus hauxwelli,93,Turdus hauxwelli,Turdus hauxwelli,NA,8995,Turdus_hauxwelli,M5,Thrushes,"Thrushes, Dippers, Chats, Old World Flycatchers",Hauxwell's Thrush,bow08995,LC,BL3,Turdidae,Thrushes,178,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
119,Cyphorhinus thoracicus,Cyphorhinus thoracicus,211,Cyphorhinus thoracicus,Cyphorhinus thoracicus,NA,9790,Cyphorhinus_thoracicus,M1,"Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers","Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers",Chestnut-breasted Wren,bow09790,LC,BL3,Troglodytidae,Wrens,162,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
120,Myrmotherula longicauda,Myrmotherula longicauda,103,Myrmotherula longicauda,Myrmotherula longicauda,NA,6474,Myrmotherula_longicauda,Thamnophilidae,Antbirds,Antbirds,Stripe-chested Antwren,bow06474,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
121,Lathrotriccus euleri,Lathrotriccus euleri,65,Lathrotriccus euleri,Lathrotriccus euleri,NA,6011,Lathrotriccus_euleri,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Euler's Flycatcher,bow06011,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
122,Eubucco versicolor,Eubucco versicolor,44,Eubucco versicolor,Eubucco versicolor,NA,1170,Eubucco_versicolor,Ramphastidae,"Toucans, Barbets","Woodpeckers, Honeyguides, Toucans, Barbets",Versicoloured Barbet,bow01170,LC,BL3,Ramphastidae,Toucans and barbets,93,PICIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
123,Serpophaga cinerea,Serpophaga cinerea,36,Serpophaga cinerea,Serpophaga cinerea,NA,5899,Serpophaga_cinerea,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Torrent Tyrannulet,bow05899,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
124,Schistocichla brunneiceps,Myrmelastes brunneiceps,27,Schistocichla brunneiceps,Schistocichla brunneiceps,REV_TAX,19958,Schistocichla_brunneiceps,Thamnophilidae,Antbirds,Antbirds,Brownish-headed Antbird,bow19958,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
125,Chamaeza campanisona,Chamaeza campanisona,80,Chamaeza campanisona,Chamaeza campanisona,NA,6960,Chamaeza_campanisona,Antthrushes,Antthrushes,"Ovenbirds, Woodcreepers, Antthrushes",Short-tailed Antthrush,bow06960,LC,BL3,Formicariidae,Antthrushes and antpittas,109,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
126,Oryzoborus angolensis,Sporophila angolensis,13,Oryzoborus angolensis,Oryzoborus angolensis,REV_TAX,13208,Oryzoborus_angolensis,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Lesser Seed-finch,bow13208,LC,BL3,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
127,Scytalopus atratus,Scytalopus atratus,344,Scytalopus atratus,Scytalopus atratus,NA,7070,Scytalopus_atratus,Rhinocryptidae,Tapaculos,"Antpittas, Tapaculos",White-crowned Tapaculo,bow07070,LC,BL3,Rhinocryptidae,Tapaculos,108,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
128,Tolmomyias flaviventris,Tolmomyias flaviventris,20,Tolmomyias flaviventris,Tolmomyias flaviventris,NA,5972,Tolmomyias_flaviventris,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Yellow-breasted Flycatcher,bow05972,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
129,Formicarius rufipectus,Formicarius rufipectus,177,Formicarius rufipectus,Formicarius rufipectus,NA,6959,Formicarius_rufipectus,Antthrushes,Antthrushes,"Ovenbirds, Woodcreepers, Antthrushes",Rufous-breasted Antthrush,bow06959,LC,BL3,Formicariidae,Antthrushes and antpittas,109,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
130,Cercomacra serva,Cercomacroides serva,88,Cercomacra serva,Cercomacra serva,REV_TAX,6550,Cercomacra_serva,Thamnophilidae,Antbirds,Antbirds,Black Antbird,bow06550,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
131,Baryphthengus martii,Baryphthengus martii,66,Baryphthengus martii,Baryphthengus martii,NA,1521,Baryphthengus_martii,Motmotidae,"Kingfishers, Motmots, Todies","Bee-eaters, Kingfishers, Motmots, Todies, Rollers, Ground-Rollers",Rufous Motmot,bow01521,LC,BL3,Momotidae,Motmots,87,CORACIIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
132,Euphonia mesochrysa,Euphonia mesochrysa,40,Euphonia mesochrysa,Euphonia mesochrysa,NA,12990,Euphonia_mesochrysa,P10,"Finches, Allies","Finches, Allies",Bronze-green Euphonia,bow12990,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
133,Colibri coruscans,Colibri coruscans,92,Colibri coruscans,Colibri coruscans,NA,2517,Colibri_coruscans,Trochilidae,Hummingbirds,Hummingbirds,Sparkling Violet-ear,bow02517,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
134,Catharus fuscater,Catharus fuscater,2,Catharus fuscater,Catharus fuscater,NA,8896,Catharus_fuscater,M5,Thrushes,"Thrushes, Dippers, Chats, Old World Flycatchers",Slaty-backed Nightingale-thrush,bow08896,LC,BL3,Turdidae,Thrushes,178,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
135,Leptopogon amaurocephalus,Leptopogon amaurocephalus,175,Leptopogon amaurocephalus,Leptopogon amaurocephalus,NA,5768,Leptopogon_amaurocephalus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Sepia-capped Flycatcher,bow05768,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
136,Automolus rufipileatus,Automolus rufipileatus,50,Automolus rufipileatus,Automolus rufipileatus,NA,6868,Automolus_rufipileatus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Chestnut-crowned Foliage-gleaner,bow06868,LC,BL3,Furnariidae,Ovenbirds,110,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
