Host.Family,BLFamilyLatin,species_clean,species_jetz,Mite.Group,Mite.Group2,sociality,foraging_cat,elevation_cat,TipLabel,Sample.Full..,keycol,valuecol
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,Feather,,1,canopy,high_montane_manu,Thraupis_cyanocephala,W120525,Mite.Genus2,
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,Feather,,1,canopy,high_montane_manu,Thraupis_cyanocephala,W120530,Mite.Genus2,
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,Feather,,1,canopy,high_montane_manu,Thraupis_cyanocephala,W130188,Mite.Genus2,
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,Feather,,1,canopy,high_montane_manu,Thraupis_cyanocephala,W130559,Mite.Genus2,
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,Feather,,1,canopy,high_montane_manu,Thraupis_cyanocephala,W130566,Mite.Genus2,
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,Feather,,1,canopy,high_montane_manu,Thraupis_cyanocephala,W130603,Mite.Genus2,
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,Feather,,1,canopy,high_montane_manu,Thraupis_cyanocephala,W130623,Mite.Genus2,
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,Feather,,1,canopy,high_montane_manu,Thraupis_cyanocephala,W130648,Mite.Genus2,
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,Feather,,1,canopy,high_montane_manu,Thraupis_cyanocephala,W130654,Mite.Genus2,
Thamnophilidae,Thamnophilidae,Thamnophilus schistaceus,Thamnophilus schistaceus,Feather,,1,midhigh,lowland_manu,Thamnophilus_schistaceus,P110296,Mite.Genus,
