,sample,species,degree,w_degree,elevation
376,P116041,Arremon_taciturnus,18,1.583508787,415
377,P110324,Pipra_fasciicauda,24,2.589821312,410
378,W120988,Kleinothraupis_atropileus,53,7.242244659,2726
379,P110337,Myrmotherula_axillaris,87,7.503515061,432
380,P110406,Leptopogon_amaurocephalus,77,7.748710404,414
381,P110405,Cyanoloxia_cyanoides,13,1.138794539,414
382,VC120088,Mionectes_olivaceus,47,3.847093343,604
383,P115906,Mionectes_macconnelli,27,2.73166171,397
384,W130572,Arremon_torquatus,10,0.555642463,2650
385,P116369,Tunchiornis_ochraceiceps,19,1.412786864,385
386,P121005,Tangara_schrankii,83,8.739973618,422
387,SP120055,Sphenopsis_melanotis,62,6.866752991,1387
388,P110110,Ceratopipra_chloromeros,4,0.171811594,397
389,P116216,Leptopogon_amaurocephalus,76,7.806972804,600
390,P121400,Myrmotherula_axillaris,41,4.235043848,385
391,P115955,Ceratopipra_chloromeros,4,0.171811594,397
392,W130142,Kleinothraupis_atropileus,52,7.158911326,2650
393,W120986,Kleinothraupis_atropileus,53,7.242244659,2726
394,P116111,Pipra_fasciicauda,25,2.789821312,415
395,P130269,Arremon_taciturnus,18,1.583508787,410
396,W120875,Anisognathus_igniventris,35,5.199170478,2973
397,SP121104,Tangara_arthus,79,9.74769531,1302
398,SP121138,Tangara_arthus,75,9.603873089,1387
399,W130232,Myioborus_melanocephalus,55,7.563538819,2521
400,W130233,Myioborus_melanocephalus,55,7.563538819,2521
401,TL120062,Iridosornis_analis,61,7.731017908,1514
402,W130897,Iridosornis_jelskii,21,2.483555611,2995
403,P110387,Myrmotherula_axillaris,84,7.364299375,414
404,P121007,Isleria_hauxwelli,18,1.42312775,422
405,P121503,Isleria_hauxwelli,16,1.049794417,398
406,P110375,Mionectes_oleagineus,58,4.416065857,414
407,SP120792,Chlorospingus_flavigularis,80,9.59592056,1362
408,TL120109,Anabacerthia_striaticollis,50,6.655030198,1735
409,SP110059,Premnoplex_brunnescens,5,0.429296484,1376
410,SP110120,Chlorospingus_flavigularis,79,9.546871095,1387
411,P116115,Arremon_taciturnus,18,1.583508787,415
412,W120791,Chlorornis_riefferii,45,6.237709342,2681
413,TL120052,Chlorochrysa_calliparaea,78,10.20903393,1514
414,TL120104,Tangara_arthus,55,7.203465857,1735
415,SP121282,Premnoplex_brunnescens,5,0.429296484,1307
416,P110273,Euphonia_xanthogaster,52,2.317508161,422
417,P110102,Myrmoborus_myotherinus,36,3.886476147,397
418,P116287,Automolus_ochrolaemus,67,5.23819591,837
419,SP13356,Malacoptila_fulvogularis,13,0.902664,1573
420,SP120030,Myiothlypis_bivittata,29,3.254110719,1387
421,P110396,Epinecrophylla_erythrura,60,5.426428887,414
422,P110317,Lepidothrix_coronata,9,0.603043121,410
423,SP120093,Leptopogon_superciliaris,77,9.094071822,1362
424,P110346,Arremon_taciturnus,19,2.083508787,432
425,P110393,Pipra_fasciicauda,24,2.589821312,414
426,P116485,Mionectes_olivaceus,28,1.890609853,397
427,P116487,Mionectes_olivaceus,28,1.890609853,397
428,P116489,Mionectes_olivaceus,28,1.890609853,397
429,W130453,Kleinothraupis_atropileus,32,5.427662097,3013
430,W121001,Kleinothraupis_atropileus,52,7.158911326,2650
431,P110269,Lepidothrix_coronata,9,0.603043121,422
432,P121751,Leptopogon_amaurocephalus,77,7.748710404,414
433,W130914,Iridosornis_jelskii,19,1.865062992,2521
434,P110193,Pipra_fasciicauda,25,2.789821312,438
435,P116261,Deconychura_longicauda,11,1.787313544,600
436,P115944,Mionectes_macconnelli,27,2.73166171,397
437,P121359,Glyphorynchus_spirurus,92,8.411775114,415
438,P110210,Ceratopipra_chloromeros,5,0.204069659,438
439,SP121239,Mionectes_olivaceus,46,3.47825583,1307
440,P110228,Pipra_fasciicauda,25,2.789821312,438
441,P121741,Isleria_hauxwelli,18,1.42312775,414
442,P115910,Cyanoloxia_cyanoides,11,1.05491296,397
443,SP120993,Chlorospingus_flavigularis,80,9.59592056,1362
444,P110420,Mionectes_macconnelli,38,4.015692494,422
445,SP120861,Anabacerthia_striaticollis,67,8.122886626,1376
446,SP121313,Cyanerpes_caeruleus,41,3.059943029,1262
447,SP121331,Cyanerpes_caeruleus,41,3.059943029,1262
448,P120616,Ancistrops_strigilatus,10,0.844945752,438
449,SP120878,Galbula_cyanescens,10,0.814447448,1376
450,W121161,Myioborus_melanocephalus,55,7.563538819,2521
451,W130920,Iridosornis_jelskii,19,1.865062992,2521
452,SP121077,Myiothlypis_bivittata,29,3.254110719,1362
453,W130370,Kleinothraupis_atropileus,51,7.176187748,2742
454,P110343,Lepidothrix_coronata,10,0.853043121,432
455,P110078,Mionectes_olivaceus,26,1.802796233,392
456,SP120911,Basileuterus_tristriatus,60,7.400091448,1395
457,P115953,Myrmotherula_axillaris,57,5.801869935,397
458,P116096,Xenops_minutus,40,3.114916259,415
459,VC120108,Mionectes_olivaceus,47,3.847093343,604
460,P110041,Lepidothrix_coronata,3,0.259294872,381
461,SP110113,Basileuterus_tristriatus,60,7.400091448,1395
462,P110232,Automolus_ochrolaemus,76,6.157794909,422
463,P116186,Mionectes_olivaceus,47,3.847093343,600
464,P116004,Mionectes_macconnelli,27,2.73166171,397
465,P116120,Thamnophilus_schistaceus,72,6.338502102,415
466,P110380,Isleria_hauxwelli,18,1.42312775,414
467,P116037,Epinecrophylla_leucophthalma,53,5.240101384,415
468,SP110009,Myiothlypis_coronata,36,4.772666239,1383
469,P115991,Akletos_goeldii,6,0.459902462,397
