species_taxonomy_SACC_2021,deg_numeric,deg_weighted,species.x,species_jetz,TipLabel.x
Pachyramphus_minor,44,5.127156923,Pachyramphus minor,Pachyramphus_minor,Pachyramphus_minor
Pachyramphus_polychopterus,12,1.716136276,Pachyramphus polychopterus,Pachyramphus_polychopterus,Pachyramphus_polychopterus
Pachyramphus_versicolor,44,3.852896451,Pachyramphus versicolor,Pachyramphus_versicolor,Pachyramphus_versicolor
Pachysylvia_hypoxantha,69,8.558442215,Hylophilus hypoxanthus,Hylophilus_hypoxanthus,Hylophilus_hypoxanthus
Pheucticus_aureoventris,10,1.797993993,Pheucticus aureoventris,Pheucticus_aureoventris,Pheucticus_aureoventris
Philydor_erythrocercum,75,9.212429898,Philydor erythrocercum,Philydor_erythrocercum,Philydor_erythrocercum
Phyllomyias_cinereiceps,65,6.335912083,Phyllomyias cinereiceps,Phyllomyias_cinereiceps,Phyllomyias_cinereiceps
Phylloscartes_ophthalmicus,67,7.216003229,Pogonotriccus ophthalmicus,Phylloscartes_ophthalmicus,Phylloscartes_ophthalmicus
Phylloscartes_poecilotis,21,1.58337103,Pogonotriccus poecilotis,Phylloscartes_poecilotis,Phylloscartes_poecilotis
Phylloscartes_ventralis,34,3.56382826,Phylloscartes ventralis,Phylloscartes_ventralis,Phylloscartes_ventralis
Piaya_cayana,59,5.554536406,Piaya cayana,Piaya_cayana,Piaya_cayana
Piculus_leucolaemus,9,0.860648148,Piculus leucolaemus,Piculus_leucolaemus,Piculus_leucolaemus
Pipra_fasciicauda,26,3.039821312,Pipra fasciicauda,Pipra_fasciicauda,Pipra_fasciicauda
Pipraeidea_melanonota,29,1.986986114,Pipraeidea melanonota,Pipraeidea_melanonota,Pipraeidea_melanonota
Pipreola_intermedia,17,2.233936974,Pipreola intermedia,Pipreola_intermedia,Pipreola_intermedia
Piranga_flava,19,3.025309724,Piranga flava,Piranga_flava,Piranga_flava
Piranga_leucoptera,16,1.143833574,Piranga leucoptera,Piranga_leucoptera,Piranga_leucoptera
Piranga_olivacea,18,2.187289098,Piranga olivacea,Piranga_olivacea,Piranga_olivacea
Poecilotriccus_albifacies,21,4.04207549,Poecilotriccus albifacies,Poecilotriccus_albifacies,Poecilotriccus_albifacies
Poecilotriccus_latirostris,19,2.180729176,Poecilotriccus latirostris,Poecilotriccus_latirostris,Poecilotriccus_latirostris
Poecilotriccus_plumbeiceps,22,2.791373626,Poecilotriccus plumbeiceps,Poecilotriccus_plumbeiceps,Poecilotriccus_plumbeiceps
Premnoplex_brunnescens,5,0.429296484,Premnoplex brunnescens,Premnoplex_brunnescens,Premnoplex_brunnescens
Premnornis_guttuliger,11,0.656768952,Premnornis guttuliger,Premnornis_guttuligera,Premnornis_guttuligera
Pseudocolaptes_boissonneautii,47,6.887316097,Pseudocolaptes boissonneautii,Pseudocolaptes_boissonneautii,Pseudocolaptes_boissonneautii
Pseudospingus_xanthophthalmus,34,4.575991278,Hemispingus xanthophthalmus,Hemispingus_xanthophthalmus,Hemispingus_xanthophthalmus
Pygiptila_stellaris,76,9.253439518,Pygiptila stellaris,Pygiptila_stellaris,Pygiptila_stellaris
Pyrrhomyias_cinnamomeus,102,8.938209634,Pyrrhomyias cinnamomeus,Pyrrhomyias_cinnamomeus,Pyrrhomyias_cinnamomeus
Ramphocelus_carbo,48,5.932956382,Ramphocelus carbo,Ramphocelus_carbo,Ramphocelus_carbo
Ramphotrigon_fuscicauda,55,5.934204634,Ramphotrigon fuscicauda,Ramphotrigon_fuscicauda,Ramphotrigon_fuscicauda
Rauenia_bonariensis,19,3.025309724,Thraupis bonariensis,Thraupis_bonariensis,Thraupis_bonariensis
Rhynchocyclus_fulvipectus,14,1.348078439,Rhynchocyclus fulvipectus,Rhynchocyclus_fulvipectus,Rhynchocyclus_fulvipectus
Saltator_grossus,46,5.74294988,Saltator grossus,Saltator_grossus,Saltator_grossus
Saltator_maximus,104,9.489172598,Saltator maximus,Saltator_maximus,Saltator_maximus
Sclerurus_obscurior,32,3.403140005,Sclerurus mexicanus,Sclerurus_mexicanus,Sclerurus_mexicanus
Setophaga_pitiayumi,58,5.068544066,Parula pitiayumi,Parula_pitiayumi,Parula_pitiayumi
Sittasomus_griseicapillus,14,1.832789749,Sittasomus griseicapillus,Sittasomus_griseicapillus,Sittasomus_griseicapillus
Sphenopsis_melanotis,72,7.648793343,Hemispingus melanotis,Hemispingus_melanotis,Hemispingus_melanotis
Sporathraupis_cyanocephala,45,5.160589524,Thraupis cyanocephala,Thraupis_cyanocephala,Thraupis_cyanocephala
Stilpnia_cyanicollis,84,9.639402758,Tangara cyanicollis,Tangara_cyanicollis,Tangara_cyanicollis
Synallaxis_azarae,54,4.506054203,Synallaxis azarae,Synallaxis_azarae,Synallaxis_azarae
Syndactyla_ucayalae,25,2.683742831,Simoxenops ucayalae,Simoxenops_ucayalae,Simoxenops_ucayalae
Tangara_arthus,102,10.47767758,Tangara arthus,Tangara_arthus,Tangara_arthus
Tangara_callophrys,7,1.682407407,Tangara callophrys,Tangara_callophrys,Tangara_callophrys
Tangara_chilensis,129,9.967314992,Tangara chilensis,Tangara_chilensis,Tangara_chilensis
Tangara_chrysotis,31,3.74892458,Tangara chrysotis,Tangara_chrysotis,Tangara_chrysotis
Tangara_cyanotis,13,1.619170787,Tangara cyanotis,Tangara_cyanotis,Tangara_cyanotis
Tangara_gyrola,120,8.809226877,Tangara gyrola,Tangara_gyrola,Tangara_gyrola
Tangara_mexicana,25,4.539371705,Tangara mexicana,Tangara_mexicana,Tangara_mexicana
Tangara_nigroviridis,48,5.078950099,Tangara nigroviridis,Tangara_nigroviridis,Tangara_nigroviridis
Tangara_parzudakii,12,1.923050787,Tangara parzudakii,Tangara_parzudakii,Tangara_parzudakii
Tangara_schrankii,98,9.304499853,Tangara schrankii,Tangara_schrankii,Tangara_schrankii
Tangara_vassorii,50,7.584725444,Tangara vassorii,Tangara_vassorii,Tangara_vassorii
Tangara_velia,7,1.682407407,Tangara velia,Tangara_velia,Tangara_velia
Tangara_xanthocephala,55,6.542351845,Tangara xanthocephala,Tangara_xanthocephala,Tangara_xanthocephala
Terenotriccus_erythrurus,7,0.390033069,Terenotriccus erythrurus,Terenotriccus_erythrurus,Terenotriccus_erythrurus
Thamnomanes_ardesiacus,67,5.552660458,Thamnomanes ardesiacus,Thamnomanes_ardesiacus,Thamnomanes_ardesiacus
Thamnomanes_schistogynus,108,7.204062452,Thamnomanes schistogynus,Thamnomanes_schistogynus,Thamnomanes_schistogynus
Thamnophilus_aethiops,17,1.901819507,Thamnophilus aethiops,Thamnophilus_aethiops,Thamnophilus_aethiops
Thamnophilus_doliatus,9,1.064242378,Thamnophilus doliatus,Thamnophilus_doliatus,Thamnophilus_doliatus
Thamnophilus_palliatus,32,2.505509431,Thamnophilus palliatus,Thamnophilus_palliatus,Thamnophilus_palliatus
Thamnophilus_schistaceus,89,7.052464235,Thamnophilus schistaceus,Thamnophilus_schistaceus,Thamnophilus_schistaceus
Thamnophilus_unicolor,21,2.84147323,Thamnophilus unicolor,Thamnophilus_unicolor,Thamnophilus_unicolor
